# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Orangutan|Red-haired ape of Asian jungles.|قرد أحمر الشعر في أدغال آسيا.
Koala|Australian tree hugger eating eucalyptus.|حيوان أسترالي يعانق الأشجار ويأكل الكينا.
Anteater|Long-nosed animal licking up insects.|حيوان بأنف طويل يلعق الحشرات.
Hamster|Tiny pet stuffing food in its cheeks.|حيوان أليف صغير يحشو خديه بالطعام.
Guinea pig|Round furry pet that squeaks.|حيوان أليف مستدير مكسو بالفراء يصوصو.
Lynx|Wild cat with pointed ear tufts.|قط بري بخصلات مدببة على أذنيه.
Cougar|Big American mountain cat.|قط جبلي أمريكي كبير.
Jackal|Wild dog of stories, cunning and sly.|كلب بري في الحكايات ماكر ومخادع.
Stork|Tall white bird nesting on rooftops.|طائر أبيض طويل يعشش فوق الأسطح.
Heron|Patient bird standing still in water hunting.|طائر صبور يقف ساكنا في الماء يصطاد.
Pelican|Water bird storing fish in its beak pouch.|طائر مائي يخزن السمك في جراب منقاره.
Sparrow|The little brown bird of every street.|العصفور البني الصغير في كل شارع.
Swallow|Small bird returning every spring.|طائر صغير يعود كل ربيع.
Nightingale|The bird with the sweetest night song.|الطائر صاحب أعذب غناء ليلي.
Canary|Small yellow singing pet bird.|طائر زينة أصفر صغير مغرد.
Hummingbird|Tiny bird hovering still while drinking nectar.|طائر دقيق يحوم ثابتا وهو يشرب الرحيق.
Hawk|Sharp-eyed hunting bird diving on prey.|طائر صيد حاد البصر ينقض على فريسته.
Vulture|Bald bird circling over dead animals.|طائر أصلع يحوم فوق الجيف.
Goose|Big white bird honking loudly.|طائر أبيض كبير يصيح بصوت عالٍ.
Turkey|Big bird eaten at holiday feasts.|طائر كبير يؤكل في الأعياد.
Chameleon|Lizard changing color to hide.|سحلية تغير لونها للاختباء.
Gecko|Small lizard sticking to walls and ceilings.|سحلية صغيرة تلتصق بالجدران والسقوف.
Cobra|Dangerous snake spreading its hood.|ثعبان خطير ينشر قلنسوته.
Viper|Poisonous snake with triangle head.|أفعى سامة برأس مثلث.
Python|Giant snake squeezing its prey.|ثعبان عملاق يخنق فريسته.
Tortoise|Land turtle living over a hundred years.|سلحفاة برية تعيش أكثر من مئة سنة.
Salmon|Pink fish swimming up rivers.|سمكة وردية تسبح عكس النهر.
Tuna|Big fast fish famous in cans.|سمكة كبيرة سريعة مشهورة في العلب.
Sardine|Small fish packed tightly in cans.|سمكة صغيرة ترص بإحكام في العلب.
Trout|Speckled river fish anglers love.|سمكة نهرية مرقطة يحبها الصيادون.
Eel|Snake-like fish giving electric shocks.|سمكة كالثعبان تصعق بالكهرباء.
Seahorse|Tiny fish shaped like a horse standing up.|سمكة دقيقة بشكل حصان واقف.
Starfish|Five-armed creature on the sea floor.|كائن بخمس أذرع في قاع البحر.
Lobster|Big red sea creature with strong claws.|كائن بحري أحمر كبير بكماشتين قويتين.
Oyster|Closed shell that may hide a pearl.|صدفة مغلقة قد تخفي لؤلؤة.
Squid|Sea creature with ten arms and ink.|كائن بحري بعشرة أذرع وحبر.
Swordfish|Fish with a long sharp sword nose.|سمكة بأنف طويل حاد كالسيف.
Ladybug|Small red beetle with black dots.|خنفساء حمراء صغيرة بنقاط سوداء.
Caterpillar|Crawling worm that becomes a butterfly.|دودة زاحفة تتحول فراشة.
Cockroach|The hated insect running in kitchens at night.|الحشرة المكروهة التي تجري في المطابخ ليلا.
Cricket|Insect chirping all night long.|حشرة تصر طوال الليل.
Firefly|Insect glowing in the dark.|حشرة تضيء في الظلام.
Wasp|Yellow striped stinger, angrier than a bee.|لاسعة صفراء مخططة أشرس من النحلة.
Hornet|The biggest and most dangerous wasp.|أكبر الزنابير وأخطرها.
Termite|White insect eating wood from inside.|حشرة بيضاء تأكل الخشب من الداخل.
Moth|Night butterfly circling the lamp.|فراشة الليل التي تحوم حول المصباح.
Leech|Water worm sticking to skin drinking blood.|دودة ماء تلتصق بالجلد وتمص الدم.
Pebble|Small smooth stone from the river.|حجر صغير أملس من النهر.
Gravel|Many small stones covering paths.|حصى صغيرة كثيرة تغطي الممرات.
Clay|Soft earth shaped into pottery.|تراب لين يشكل فخارا.
Soil|The dark earth plants grow in.|التربة الداكنة التي تنمو فيها النباتات.
Moss|Soft green cover on wet rocks.|غطاء أخضر ناعم على الصخور الرطبة.
Fern|Green plant with feather-like leaves, no flowers.|نبتة خضراء بأوراق ريشية بلا أزهار.
Vine|Climbing plant that grapes grow on.|نبتة متسلقة ينمو عليها العنب.
Ivy|Green climber covering old walls.|متسلقة خضراء تكسو الجدران القديمة.
Reed|Tall thin plant growing by rivers.|نبتة طويلة رفيعة تنمو عند الأنهار.
Bamboo|Tall fast-growing sticks pandas eat.|عيدان طويلة سريعة النمو يأكلها الباندا.
Bush|Plant shorter than a tree, round and thick.|نبتة أقصر من الشجرة مستديرة كثيفة.
Trunk|The thick body of the tree.|الجذع السميك للشجرة.
Twig|The thinnest small branch.|أرفع غصن صغير.
Stump|What remains after a tree is cut.|ما يبقى بعد قطع الشجرة.
Acorn|The small nut of the oak, squirrels' favorite.|ثمرة البلوط الصغيرة المفضلة عند السناجب.
Pinecone|The woody brown fruit of the pine.|الثمرة الخشبية البنية للصنوبر.
Oak|Big strong tree living centuries.|شجرة كبيرة قوية تعيش قرونا.
Pine|Evergreen tree with needles and cones.|شجرة دائمة الخضرة بإبر وأكواز.
Cedar|The proud tree on Lebanon's flag.|الشجرة الفخورة على علم لبنان.
Willow|Sad tree with branches hanging to the ground.|شجرة حزينة بأغصان متدلية إلى الأرض.
Maple|The tree whose leaf is on Canada's flag.|الشجرة التي ورقتها على علم كندا.
Tulip|Cup-shaped flower famous in Holland.|زهرة بشكل كأس مشهورة في هولندا.
Daisy|Simple white flower with a yellow heart.|زهرة بيضاء بسيطة بقلب أصفر.
Sunflower|Tall yellow flower turning toward the sun.|زهرة صفراء طويلة تلتفت نحو الشمس.
Jasmine|Small white flower with a lovely night smell.|زهرة بيضاء صغيرة برائحة ليلية ساحرة.
Lily|Elegant trumpet-shaped flower.|زهرة أنيقة بشكل بوق.
Orchid|Rare exotic flower of many shapes.|زهرة نادرة غريبة بأشكال كثيرة.
Lavender|Purple flower fields with calming smell.|حقول زهور بنفسجية برائحة مهدئة.
Poppy|Red field flower with black heart.|زهرة حقل حمراء بقلب أسود.
Petal|One colorful leaf of a flower.|ورقة ملونة واحدة من الزهرة.
Stem|The green stick holding the flower up.|العود الأخضر الذي يحمل الزهرة.
Nectar|The sweet juice bees collect from flowers.|الرحيق الحلو الذي يجمعه النحل من الأزهار.
Bud|Baby flower still closed.|زهرة صغيرة لم تتفتح بعد.
Puddle|Small rain water on the ground kids jump in.|ماء مطر صغير على الأرض يقفز فيه الأطفال.
Current|The invisible push moving river water.|الدفع الخفي الذي يحرك ماء النهر.
Tide|The sea rising and falling every day.|صعود البحر ونزوله كل يوم.
Seaweed|Green sea plants waving underwater.|نباتات البحر الخضراء تتمايل تحت الماء.
Coral|Colorful sea rock that is actually alive.|صخر بحري ملون وهو في الحقيقة حي.
Seashell|What you collect on the beach and hear the sea in.|ما نجمعه على الشاطئ ونسمع فيه البحر.
Iceberg|Floating ice mountain, most of it hidden underwater.|جبل جليدي طافٍ معظمه مخفي تحت الماء.
Snowflake|One tiny star-shaped piece of snow.|قطعة ثلج واحدة دقيقة بشكل نجمة.
Breeze|Soft gentle pleasant wind.|ريح خفيفة لطيفة محببة.
Whirlwind|Small spinning wind lifting dust.|ريح دوارة صغيرة ترفع الغبار.
Raindrop|One single drop of rain.|قطرة مطر واحدة.
Sunrise|When the sun appears in the morning.|عندما تظهر الشمس صباحا.
Sunset|When the sun disappears with orange skies.|عندما تغيب الشمس بسماء برتقالية.
Dawn|The first light before the sun rises.|أول الضوء قبل شروق الشمس.
Autumn|The season when leaves fall.|الفصل الذي تتساقط فيه الأوراق.
Summer|The hottest season, school is off.|أحر الفصول وعطلة المدارس.
Winter|The coldest season of rain and snow.|أبرد الفصول بالمطر والثلج.
Scalp|The skin under your hair.|الجلد تحت الشعر.
Temple|The soft side of your head near the eye.|الجانب الطري من الرأس قرب العين.
Nostril|One of the two holes of your nose.|إحدى فتحتي الأنف.
Lip|The soft pink edge of your mouth.|الحافة الوردية الطرية للفم.
Gum|The pink flesh holding your teeth.|اللحم الوردي الذي يمسك الأسنان.
Throat|Inside your neck where food passes.|داخل الرقبة حيث يمر الطعام.
Chest|The front of your body holding heart and lungs.|مقدمة الجسم التي تضم القلب والرئتين.
Hip|The wide bone at the side of your waist.|العظم العريض على جانب الخصر.
Thigh|The thick upper part of your leg.|الجزء العلوي الغليظ من الساق.
Calf|The muscle at the back of your lower leg.|العضلة خلف أسفل الساق.
Shin|The sharp front bone of your lower leg.|العظمة الأمامية الحادة أسفل الساق.
Toe|The fingers of your feet.|أصابع القدمين.
Knuckle|The bumps where fingers bend.|العقد البارزة حيث تنثني الأصابع.
Fingernail|The hard shield on your fingertip.|الدرع الصلب على رأس الإصبع.
Fist|Your hand closed tight.|اليد مقبوضة بإحكام.
Dimple|The cute hole in the cheek when smiling.|الحفرة اللطيفة في الخد عند الابتسام.
Freckle|Small brown dots on the face from the sun.|نقاط بنية صغيرة على الوجه من الشمس.
Wrinkle|Lines on the skin coming with age.|خطوط على الجلد تأتي مع العمر.
Beard|Hair growing on a man's chin.|شعر ينمو على ذقن الرجل.
Mustache|Hair growing above a man's lip.|شعر ينمو فوق شفة الرجل.
Blouse|Elegant light top for women.|لباس علوي نسائي أنيق خفيف.
Cardigan|Knitted jacket with buttons, no zipper.|سترة محبوكة بأزرار بلا سحاب.
Hoodie|Sweatshirt with a head cover attached.|كنزة بغطاء رأس متصل.
Raincoat|Waterproof coat for rainy days.|معطف عازل للماء لأيام المطر.
Jeans|Blue tough pants everyone owns.|بنطال أزرق متين يملكه الجميع.
Tracksuit|Matching sporty jacket and pants.|سترة وبنطال رياضيان متناسقان.
Swimsuit|What you wear to swim.|ما نلبسه للسباحة.
Underwear|Clothes worn under everything else.|ملابس تلبس تحت كل شيء.
Mitten|Winter glove with one space for four fingers.|قفاز شتوي بمكان واحد لأربعة أصابع.
Beanie|Soft knitted winter hat.|قبعة شتوية محبوكة طرية.
Hood|The head cover attached to a jacket.|غطاء الرأس المتصل بالسترة.
Veil|Light cloth covering a woman's face or head.|قماش خفيف يغطي وجه المرأة أو رأسها.
Cufflinks|Elegant metal pieces closing shirt sleeves.|قطع معدنية أنيقة تغلق أكمام القميص.
Shawl|Wide soft cloth wrapped over the shoulders.|قماش عريض ناعم يلف على الكتفين.
Wallet|Small folder in your pocket holding money.|محفظة صغيرة في الجيب للنقود.
Handbag|Bag women carry with everything inside.|حقيبة تحملها النساء وفيها كل شيء.
Backpack|Bag carried on both shoulders.|حقيبة تحمل على الكتفين.
Suitcase|Big rolling bag for travel.|حقيبة كبيرة بعجلات للسفر.
Umbrella|You open it over your head against rain.|نفتحها فوق الرأس ضد المطر.
Sunglasses|Dark glasses protecting eyes from the sun.|نظارات داكنة تحمي العينين من الشمس.
Glasses|Worn on the nose to see clearly.|تلبس على الأنف للرؤية بوضوح.
Shoelace|The string you tie on your shoe.|الخيط الذي نربطه على الحذاء.
Buckle|Metal closure of a belt.|إغلاق الحزام المعدني.
Thread|Thin string used for sewing.|خيط رفيع للخياطة.
Needle|Thin sharp tool pulling thread through cloth.|أداة رفيعة حادة تمرر الخيط في القماش.
Fabric|The material clothes are made from.|المادة التي تصنع منها الثياب.
Wool|Warm material from sheep.|مادة دافئة من الخروف.
Cotton|Soft white plant material for clothes.|مادة نباتية بيضاء ناعمة للملابس.
Silk|The smoothest most luxurious fabric.|أنعم الأقمشة وأفخرها.
Leather|Strong material from animal skin.|مادة قوية من جلد الحيوانات.
Scooter|You stand on it and push with one foot.|نقف عليه وندفع بقدم واحدة.
Skateboard|Board on four small wheels for tricks.|لوح بأربع عجلات صغيرة للحركات.
Subway|Underground train of big cities.|قطار تحت الأرض في المدن الكبرى.
Fire truck|Big red truck with ladders and sirens.|شاحنة حمراء كبيرة بسلالم وصفارات.
Police car|Car with blue lights chasing criminals.|سيارة بأضواء زرقاء تطارد المجرمين.
Garbage truck|Truck collecting trash every morning.|شاحنة تجمع القمامة كل صباح.
Limousine|Extra long luxury car of celebrities.|سيارة فاخرة طويلة جدا للمشاهير.
Jeep|Strong car climbing mountains and sand.|سيارة قوية تتسلق الجبال والرمال.
Caravan|House on wheels pulled for road trips.|بيت بعجلات يجر في رحلات الطرق.
Gondola|The romantic boat of Venice canals.|قارب البندقية الرومانسي في القنوات.
Raft|Flat floating platform of tied logs.|منصة طافية مسطحة من أخشاب مربوطة.
Kayak|Narrow closed boat for one paddler.|قارب ضيق مغلق لمجدف واحد.
Tanker|Giant ship carrying oil across oceans.|سفينة عملاقة تنقل النفط عبر المحيطات.
Cargo ship|Ship stacked with thousands of containers.|سفينة مكدسة بآلاف الحاويات.
Cruise ship|Floating hotel for sea vacations.|فندق عائم لعطلات البحر.
Jet|The fastest airplane.|أسرع الطائرات.
Glider|Plane with no engine riding the wind.|طائرة بلا محرك تركب الريح.
Seaplane|Plane landing on water.|طائرة تهبط على الماء.
Headlight|The car's front eyes at night.|عينا السيارة الأماميتان ليلا.
Bumper|The car's front and back protector.|واقي السيارة الأمامي والخلفي.
Tire|The black rubber around the wheel.|المطاط الأسود حول العجلة.
Horn|You press it to warn others, beep beep.|نضغطه لتنبيه الآخرين، بيب بيب.
Pedal|You press it with your foot to speed or stop.|ندوسه بالقدم للانطلاق أو التوقف.
Seatbelt|You buckle it across your chest for safety.|نربطه عبر الصدر للأمان.
License plate|The numbered plate identifying each car.|اللوحة المرقمة التي تميز كل سيارة.
Speedometer|Shows how fast you are driving.|يبين سرعة قيادتك.
Gas station|Where cars fill their tanks.|حيث تملأ السيارات خزاناتها.
Parking lot|Open space where many cars park.|مساحة مفتوحة تصف فيها سيارات كثيرة.
Highway|Wide fast road between cities.|طريق واسع سريع بين المدن.
Bus stop|Where you wait for the bus.|حيث ننتظر الحافلة.
Platform|Where you stand waiting for the train.|حيث نقف بانتظار القطار.
Railway|The iron path trains run on.|السكة الحديدية التي تسير عليها القطارات.
Wagon|Wooden cart pulled by horses.|عربة خشبية تجرها الخيول.
Sled|You slide on snow sitting on it.|ننزلق بها على الثلج جلوسا.
Cable car|Hanging cabin climbing mountains on wires.|مقصورة معلقة تصعد الجبال على أسلاك.
Doctor|You visit him when you are sick.|نزوره عندما نمرض.
Judge|Decides who is right in court.|يقرر من المحق في المحكمة.
Police officer|Keeps order and catches thieves.|يحفظ النظام ويقبض على اللصوص.
Postman|Brings letters to your door.|يوصل الرسائل إلى بابك.
Driver|The person behind the steering wheel.|الشخص خلف المقود.
Captain|Commands the ship.|يقود السفينة.
Sailor|Works on ships at sea.|يعمل على السفن في البحر.
Miner|Digs deep underground for coal and gold.|يحفر عميقا تحت الأرض عن الفحم والذهب.
Blacksmith|Shapes hot iron with a hammer.|يشكل الحديد الساخن بالمطرقة.
Goldsmith|Crafts gold into jewelry.|يصوغ الذهب حليا.
Potter|Shapes clay into pots on a spinning wheel.|يشكل الطين أواني على عجلة دوارة.
Painter|Creates pictures with brushes and colors.|يبدع اللوحات بالفرشاة والألوان.
Sculptor|Carves statues from stone.|ينحت التماثيل من الحجر.
Photographer|Captures moments with a camera.|يلتقط اللحظات بالكاميرا.
Actor|Plays characters in films and theater.|يجسد الشخصيات في الأفلام والمسرح.
Singer|Performs songs with their voice.|يؤدي الأغاني بصوته.
Dancer|Expresses music with body movements.|يعبر عن الموسيقى بحركات الجسم.
Poet|Writes verses of rhyme and feeling.|يكتب أبيات القافية والمشاعر.
Writer|Creates books and stories.|يؤلف الكتب والقصص.
Cashier|Takes your money at the register.|يأخذ نقودك عند الصندوق.
Salesman|Convinces you to buy things.|يقنعك بشراء الأشياء.
Merchant|Buys and sells goods for profit.|يشتري البضائع ويبيعها للربح.
Manager|Leads the team at work.|يقود الفريق في العمل.
Janitor|Keeps the building clean.|يحافظ على نظافة المبنى.
Gardener|Cares for plants and flowers.|يعتني بالنباتات والأزهار.
Beekeeper|Raises bees and collects honey.|يربي النحل ويجمع العسل.
Hunter|Chases wild animals in the forest.|يطارد الحيوانات البرية في الغابة.
Maid|Cleans and helps in the house.|تنظف وتساعد في البيت.
Nanny|Watches the children while parents work.|تراقب الأطفال بينما يعمل الوالدان.
Tutor|Teaches you alone at home.|يعلمك وحدك في البيت.
Principal|The boss of the school.|رئيس المدرسة.
Professor|Teaches at the university.|يدرس في الجامعة.
Scientist|Studies and discovers new things.|يدرس ويكتشف أشياء جديدة.
Inventor|Creates things nobody made before.|يبتكر أشياء لم يصنعها أحد قبله.
Athlete|Competes in professional sport.|ينافس في الرياضة الاحترافية.
Clown|Red nose and big shoes making kids laugh.|أنف أحمر وحذاء كبير يضحك الأطفال.
Magician|Pulls rabbits from hats.|يخرج الأرانب من القبعات.
Musician|Plays instruments professionally.|يعزف الآلات باحتراف.
Cobbler|Repairs old shoes.|يصلح الأحذية القديمة.
Welder|Joins metal with fire and sparks.|يلحم المعادن بالنار والشرر.
Badminton|Like tennis but with a feathered birdie.|كالتنس لكن بريشة طائرة.
Table tennis|Tennis on a small table with paddles.|تنس على طاولة صغيرة بمضارب خفيفة.
Golf|Hitting a tiny ball into far holes.|ضرب كرة صغيرة نحو حفر بعيدة.
Hockey|Teams hitting a disc with curved sticks.|فرق تضرب قرصا بعصي منحنية.
Rugby|Rough football carried by hand.|كرة قدم عنيفة تحمل باليد.
Baseball|American game of bat and ball.|اللعبة الأمريكية بالمضرب والكرة.
Handball|Throwing the ball into the goal by hand.|رمي الكرة في المرمى باليد.
Cycling|Racing on bicycles.|السباق على الدراجات.
Jogging|Slow relaxed running for health.|جري بطيء مريح للصحة.
Hiking|Long walks up mountains and trails.|مشي طويل في الجبال والدروب.
Climbing|Going up walls and rocks with your hands.|الصعود على الجدران والصخور باليدين.
Diving|Jumping deep into water.|القفز عميقا في الماء.
Sailing|Moving on water pushed by wind.|التنقل على الماء بدفع الريح.
Skating|Gliding smoothly on wheels or ice.|الانزلاق بسلاسة على عجلات أو جليد.
Judo|Japanese art of throwing your opponent.|فن ياباني في طرح الخصم أرضا.
Taekwondo|Korean fighting art of high kicks.|فن قتال كوري بالركلات العالية.
High jump|Jumping over a high bar.|القفز فوق عارضة عالية.
Long jump|Jumping as far as possible into sand.|القفز لأبعد مسافة في الرمل.
Sprint|Running at full speed for a short distance.|الجري بأقصى سرعة لمسافة قصيرة.
Hurdles|Running while jumping over barriers.|الجري مع القفز فوق الحواجز.
Shot put|Throwing a heavy metal ball.|رمي كرة معدنية ثقيلة.
Billiards|Hitting colored balls with a long stick.|ضرب كرات ملونة بعصا طويلة.
Bowling|Rolling a heavy ball to knock down pins.|دحرجة كرة ثقيلة لإسقاط القوارير.
Darts|Throwing small arrows at a round board.|رمي سهام صغيرة على لوحة دائرية.
Kite|Paper bird you fly on a string in the wind.|طير ورقي نطيره بخيط في الريح.
Dumbbell|Hand weight lifted to build muscles.|ثقل يدوي يرفع لبناء العضلات.
Treadmill|You run on it while staying in place.|نجري عليه ونحن في مكاننا.
Yoga|Slow stretching poses with deep breathing.|وضعيات تمدد بطيئة مع تنفس عميق.
Goalkeeper|The only player allowed to use hands.|اللاعب الوحيد المسموح له باستعمال يديه.
Striker|The player whose job is scoring goals.|اللاعب الذي مهمته تسجيل الأهداف.
Beaker|Glass lab cup with measurement lines.|كأس مخبرية زجاجية بخطوط قياس.
Pipette|Thin tube moving drops of liquid precisely.|أنبوب رفيع ينقل قطرات السوائل بدقة.
Dropper|Squeezed to release liquid drop by drop.|تضغط لإنزال السائل قطرة قطرة.
Burner|Small lab flame heating experiments.|لهب مخبري صغير يسخن التجارب.
Tweezers|Two joined tips picking tiny things.|طرفان متصلان يلتقطان الأشياء الدقيقة.
Petri dish|Shallow round dish growing bacteria.|طبق دائري ضحل تنمى فيه البكتيريا.
Solution|Liquid with something dissolved in it.|سائل ذاب فيه شيء ما.
Mixture|Different things combined together.|أشياء مختلفة مخلوطة معا.
Powder|Any material ground very fine.|أي مادة مطحونة ناعمة جدا.
Liquid|Matter that flows, like water.|مادة تجري مثل الماء.
Gas|Matter with no shape, like air.|مادة بلا شكل مثل الهواء.
Bubble|Air ball floating in soap or water.|كرة هواء تطفو في الصابون أو الماء.
Flame|The dancing tongue of fire.|لسان النار الراقص.
Spark|Tiny flying piece of fire.|شرارة نار صغيرة متطايرة.
Ash|The grey powder left after burning.|المسحوق الرمادي المتبقي بعد الحريق.
Smoke|Grey clouds rising from fire.|غيوم رمادية تتصاعد من النار.
Charcoal|Black burned wood for grilling.|خشب محروق أسود للشواء.
Limestone|White rock used for building and cement.|صخر أبيض للبناء والإسمنت.
Marble|Smooth shiny stone of palaces and statues.|حجر أملس لامع للقصور والتماثيل.
Sulfur|Yellow element smelling like rotten eggs.|عنصر أصفر رائحته كالبيض الفاسد.
Copper|Red-brown metal in electric wires.|معدن بني محمر في الأسلاك الكهربائية.
Zinc|Grey metal protecting iron from rust.|معدن رمادي يحمي الحديد من الصدأ.
Lead|Very heavy soft grey metal.|معدن رمادي طري ثقيل جدا.
Tin|Light metal coating food cans.|معدن خفيف يغلف علب الطعام.
Aluminum|Light silver metal of foil and cans.|معدن فضي خفيف للرقائق والعلب.
Brass|Yellow metal of door handles and instruments.|معدن أصفر لمقابض الأبواب والآلات.
Steel|The strongest iron for buildings and cars.|أقوى أنواع الحديد للمباني والسيارات.
Silver|Precious white metal for jewelry.|معدن أبيض ثمين للحلي.
Gold|The most precious yellow metal.|أثمن المعادن الصفراء.
Carbon|The element of coal, diamonds and all life.|عنصر الفحم والألماس وكل الكائنات.
Nitrogen|The gas filling most of the air.|الغاز الذي يملأ معظم الهواء.
Helium|Light gas making balloons fly and voices funny.|غاز خفيف يطير البالونات ويضحك الأصوات.
Wire|Thin metal thread carrying electricity.|خيط معدني رفيع ينقل الكهرباء.
Bulb|Glass ball glowing with light.|كرة زجاجية تتوهج بالضوء.
Switch|You flip it to turn the light on and off.|نقلبه لإشعال الضوء وإطفائه.
Smartphone|The phone that does everything.|الهاتف الذي يفعل كل شيء.
Monitor|The screen of a desktop computer.|شاشة الحاسوب المكتبي.
Photocopier|Machine making copies of papers.|آلة تنسخ الأوراق.
Fax|Old machine sending papers through phone lines.|آلة قديمة ترسل الأوراق عبر خطوط الهاتف.
Typewriter|Old machine with letter keys that hit paper.|آلة قديمة بمفاتيح حروف تطبع على الورق.
Telegraph|Old machine sending messages as beeps over wires.|آلة قديمة ترسل الرسائل نبضات عبر الأسلاك.
Radio|You listen to news and songs on it.|نسمع منه الأخبار والأغاني.
Walkie-talkie|Handheld radio, press to talk.|جهاز لاسلكي محمول، اضغط لتتكلم.
Earphones|Small speakers inside your ears.|سماعات صغيرة داخل الأذنين.
Stereo|Home machine playing loud music.|جهاز منزلي يشغل الموسيقى بصوت عالٍ.
Game console|Machine connected to TV for video games.|جهاز يوصل بالتلفاز لألعاب الفيديو.
Controller|You hold it to play video games.|نمسكه للعب ألعاب الفيديو.
Modem|Box bringing internet into the house.|جهاز يدخل الإنترنت إلى البيت.
Satellite dish|Round plate on roofs catching TV channels.|طبق مستدير على الأسطح يلتقط القنوات.
Mousepad|Small mat the mouse slides on.|بساط صغير تنزلق عليه الفأرة.
Touchscreen|Screen you control with your finger.|شاشة تتحكم بها بإصبعك.
Stylus|Special pen for writing on screens.|قلم خاص للكتابة على الشاشات.
Powerbank|Portable battery charging your phone anywhere.|بطارية محمولة تشحن هاتفك في أي مكان.
Adapter|Piece making a plug fit a different socket.|قطعة تجعل القابس يناسب مقبسا مختلفا.
Extension cord|Long wire bringing power farther.|سلك طويل يوصل الكهرباء أبعد.
Flashlight|Portable light in your hand for darkness.|ضوء محمول في اليد للظلام.
Lantern|Old lamp carried with a handle.|مصباح قديم يحمل بمقبض.
Alarm clock|Rings loudly to wake you up.|يرن بقوة ليوقظك.
Intercom|You talk through it to the door or rooms.|نتحدث عبره مع الباب أو الغرف.
Security camera|Watches and records the place all day.|تراقب المكان وتسجل طوال اليوم.
Tripod|Three legs holding the camera still.|ثلاث أرجل تثبت الكاميرا.
Flash|The bright light when taking photos in the dark.|الضوء الساطع عند التصوير في الظلام.
Memory card|Tiny card storing photos in cameras.|بطاقة دقيقة تخزن الصور في الكاميرات.
SIM card|Tiny chip giving your phone its number.|شريحة دقيقة تعطي هاتفك رقمه.
Motherboard|The main board connecting all computer parts.|اللوحة الرئيسية التي تصل كل أجزاء الحاسوب.
Hard drive|Where the computer stores everything.|حيث يخزن الحاسوب كل شيء.
Cartridge|Ink container inside the printer.|وعاء الحبر داخل الطابعة.
Solar panel|Blue panels turning sunlight into power.|ألواح زرقاء تحول ضوء الشمس كهرباء.
Machine|Anything mechanical doing work for humans.|أي شيء ميكانيكي يعمل عن الإنسان.
Motor|The small engine spinning inside machines.|المحرك الصغير الدوار داخل الآلات.
Peak|The pointed top of a mountain.|القمة المدببة للجبل.
Ridge|The long narrow top edge of mountains.|الحافة العليا الطويلة الضيقة للجبال.
Mountain range|Chain of mountains standing together.|سلسلة جبال متراصة معا.
Foothill|The small hills at the mountain's base.|التلال الصغيرة عند قاعدة الجبل.
Gorge|Deep narrow passage between cliffs.|ممر عميق ضيق بين الجروف.
Cove|Small sheltered curve of beach.|انحناءة شاطئ صغيرة محمية.
Cape|Land pointing like a finger into the sea.|أرض تمتد كإصبع في البحر.
Marsh|Soft wet land of tall grass.|أرض رطبة طرية بأعشاب عالية.
Wetland|Land soaked with water, home of frogs and birds.|أرض مشبعة بالماء موطن الضفادع والطيور.
Prairie|Endless grass plains of America.|سهول العشب الممتدة في أمريكا.
Highland|High elevated country.|بلاد مرتفعة عالية.
Lowland|Flat country near sea level.|بلاد منخفضة قرب مستوى البحر.
Terrain|The shape and nature of the land.|شكل الأرض وطبيعتها.
Landscape|The wide beautiful view of nature.|المنظر الطبيعي الواسع الجميل.
Region|One large area of a country.|منطقة واسعة من البلاد.
Province|One governed part of a country.|جزء إداري من الدولة.
Country|Land with its own flag and government.|أرض لها علمها وحكومتها.
Kingdom|Country ruled by a king.|دولة يحكمها ملك.
State|One part of a united country, like in America.|جزء من دولة اتحادية كما في أمريكا.
Town|Bigger than a village, smaller than a city.|أكبر من القرية وأصغر من المدينة.
Seabed|The floor at the bottom of the sea.|الأرض في قاع البحر.
Trench|The deepest cracks of the ocean floor.|أعمق شقوق قاع المحيط.
Riverbed|The ground the river flows over.|الأرض التي يجري فوقها النهر.
Rapids|Where the river runs fast and white over rocks.|حيث يجري النهر سريعا مزبدا فوق الصخور.
Floodplain|Flat land the river covers when it floods.|أرض مستوية يغمرها النهر عند الفيضان.
Wadi|Dry desert valley that fills with rain.|وادٍ صحراوي جاف يمتلئ بالمطر.
Sinkhole|Sudden hole opening in the ground.|حفرة تنفتح فجأة في الأرض.
Dam|Giant wall holding back river water.|جدار عملاق يحجز ماء النهر.
Canal|Man-made river connecting waters, like Suez.|نهر صناعي يصل المياه مثل السويس.
Hot spring|Naturally warm water from the ground for bathing.|ماء دافئ طبيعي من الأرض للاستحمام.
Crescent|The thin curved moon starting the month.|القمر الرفيع المقوس أول الشهر.
Full moon|The complete bright round moon.|القمر الكامل المستدير الساطع.
Lunar eclipse|When Earth's shadow darkens the moon.|عندما يظلم ظل الأرض القمر.
Meteorite|A space rock that reached the ground.|صخرة فضائية وصلت الأرض.
Planetarium|Dome theater showing the night sky inside.|قبة مسرحية تعرض سماء الليل داخلها.
Space suit|The white suit keeping astronauts alive.|البدلة البيضاء التي تبقي الرواد أحياء.
Space shuttle|Reusable plane-shaped spaceship.|مركبة فضاء بشكل طائرة تعاد استخدامها.
